,name,id,team,position,mean_points,mean_minutes,mean_goals_scored,mean_assists,mean_clean_sheets,mean_goals_conceded,mean_own_goals,mean_saves,mean_bonus,mean_bps,mean_influence,mean_creativity,mean_threat,mean_ict,mean_xg,mean_xa,mean_xgi,mean_xgc,mean_opp_att,mean_opp_def,latest_points
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,5.0,90.0,0.2,0.0,0.4,1.0,0.0,0.0,0.4,22.4,22.720000000000002,3.5,23.8,5.000000000000001,0.24090000000000003,0.017288,0.258188,0.72994,1100.0,1118.0,2
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,4.0,90.0,0.2,0.0,0.2,1.2,0.0,0.0,0.2,18.8,20.88,3.88,23.4,4.820000000000001,0.22064000000000003,0.019770000000000003,0.24041,0.9886000000000001,1128.0,1152.0,1
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,2.4,90.0,0.0,0.0,0.2,1.4,0.0,0.0,0.0,16.6,16.16,1.52,16.4,3.4,0.07154,0.017954,0.08949399999999999,1.048,1174.0,1198.0,8
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,3.6,90.0,0.0,0.0,0.4,1.2,0.0,0.0,0.6,19.8,21.119999999999997,1.3199999999999998,6.0,2.84,0.02892,0.016414,0.045334,1.3287400000000003,1164.0,1204.0,2
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,3.8,90.0,0.0,0.0,0.4,0.8,0.0,0.0,0.6,20.6,24.72,1.56,4.8,3.1,0.03562,0.01291,0.048530000000000004,1.15312,1156.0,1186.0,6
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,3.8,90.0,0.0,0.0,0.4,0.8,0.0,0.0,0.6,20.2,23.84,1.8,5.0,3.0599999999999996,0.031259999999999996,0.011986,0.043246,1.13286,1150.0,1180.0,15
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,6.4,90.0,0.2,0.0,0.6,0.6,0.0,0.0,1.2,26.0,31.360000000000003,1.18,12.4,4.5,0.18631999999999999,0.010265999999999999,0.196586,0.87632,1148.0,1172.0,5
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,7.2,90.0,0.2,0.0,0.8,0.2,0.0,0.0,1.2,27.4,29.079999999999995,1.46,13.6,4.42,0.20788,0.009836000000000001,0.21771600000000002,0.78622,1114.0,1116.0,2
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,6.0,90.0,0.2,0.0,0.6,0.4,0.0,0.0,0.6,25.0,24.48,2.34,10.2,3.7,0.18774,0.021232,0.208972,0.62908,1124.0,1114.0,0
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,5.6,90.0,0.2,0.0,0.6,0.6,0.0,0.0,0.6,22.0,20.04,2.06,13.6,3.5800000000000005,0.26315999999999995,0.018624,0.281784,0.72334,1134.0,1132.0,6
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,1098.0,0
0,Nuno Varela Tavares,17,Arsenal,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,1116.0,0
